brand,model,vehicle_type,initial_battery_capacity_kwh,current_battery_capacity_kwh,battery_health_pct,range_km,top_speed_kmph,odometer_km,warranty_remaining_years,annual_maintenance_cost,Purchase_Year,Current_Year,Purchase_Price_L,Initial_Mileage,Current_Mileage,Initial_Perf,Current_Perf,Resale_Value_L,Value_for_Money_Score
Bajaj,Bajaj Chetak,Bike,3.0,2.96,98,120,70,38740,6,4574,2023,2025,135477,114,104,8.15,6.87,103514,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,31.06,79,305,155,68750,3,29654,2020,2025,2204773,323,285,8.55,7.7,926646,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,26.23,67,305,155,101131,0,23244,2017,2025,2268590,314,269,8.33,7.0,548720,0.6
Bajaj,Bajaj Chetak,Bike,3.0,2.8,93,120,70,68876,4,20186,2021,2025,120546,114,102,8.79,7.48,67471,1.0
Bajaj,Bajaj Chetak,Bike,3.0,2.75,91,120,70,50067,5,17260,2022,2025,141962,112,68,8.2,7.69,88681,1.0
MG,MG ZS EV,Car,50.0,36.27,72,419,140,89744,1,28894,2018,2025,2607600,409,385,8.8,8.14,773031,0.8
Tata,Tata Nexon EV,Car,40.0,32.4,81,312,120,59614,3,34407,2020,2025,1620781,319,272,8.82,8.08,692823,0.9
Ather,Ather 450X,Bike,3.7,3.1,83,150,90,50685,4,19439,2021,2025,173746,138,126,8.75,8.15,87298,0.9
Bajaj,Bajaj Chetak,Bike,3.0,2.15,71,120,70,58810,4,6636,2021,2025,121606,104,77,8.7,8.7,52264,0.9
Bajaj,Bajaj Chetak,Bike,3.0,2.16,72,120,70,91006,2,9828,2019,2025,119562,140,102,8.35,6.88,39978,0.8
MG,MG ZS EV,Car,50.0,41.87,83,419,140,64370,4,31657,2021,2025,2682827,427,411,8.19,7.46,1347275,1.0
Bajaj,Bajaj Chetak,Bike,3.0,2.16,72,120,70,79285,3,4800,2020,2025,125044,102,89,8.28,6.97,47512,0.9
Tata,Tata Nexon EV,Car,40.0,36.56,91,312,120,32614,6,30582,2023,2025,1576804,325,290,8.71,7.22,1116064,1.0
Ola,Ola S1 Pro,Bike,4.0,3.89,97,180,95,39399,6,3000,2023,2025,150831,177,162,8.51,7.11,113591,1.1
Tata,Tata Nexon EV,Car,40.0,27.15,67,312,120,90771,0,25370,2017,2025,1473717,296,281,8.74,8.39,359737,0.6
Mahindra,Mahindra XUV400,Car,39.4,29.54,74,375,150,83620,2,28347,2019,2025,1802706,369,320,8.85,8.19,627675,0.8
MG,MG ZS EV,Car,50.0,36.36,72,419,140,93686,1,33874,2018,2025,2420214,408,386,8.35,7.89,719260,0.6
Tata,Tata Nexon EV,Car,40.0,37.97,94,312,120,26783,7,15855,2024,2025,1386244,307,259,8.63,8.25,1157985,1.2
TVS,TVS iQube,Bike,3.4,3.65,107,145,82,9559,7,4952,2024,2025,147387,165,155,7.98,7.58,139237,1.2
Ola,Ola S1 Pro,Bike,4.0,3.91,97,180,95,18888,7,6699,2024,2025,137712,165,144,7.9,6.89,118459,1.1
Hyundai,Hyundai Kona Electric,Car,39.0,34.07,87,305,155,39985,5,26571,2022,2025,2231444,306,298,8.91,7.47,1328438,1.0
Ola,Ola S1 Pro,Bike,4.0,2.78,69,180,95,104186,0,8387,2017,2025,137936,181,180,8.25,7.76,34476,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,34.73,89,305,155,40771,5,28619,2022,2025,2254251,291,255,8.04,6.75,1368013,1.0
Ola,Ola S1 Pro,Bike,4.0,3.63,90,180,95,23174,7,3000,2024,2025,164988,181,131,8.13,7.55,131759,1.1
Bajaj,Bajaj Chetak,Bike,3.0,2.09,69,120,70,56930,4,12059,2021,2025,121200,132,86,8.29,7.66,50635,0.9
Ola,Ola S1 Pro,Bike,4.0,3.2,80,180,95,63744,4,3000,2021,2025,140533,197,160,8.95,7.7,67421,0.9
Mahindra,Mahindra XUV400,Car,39.4,36.47,92,375,150,32675,6,27747,2023,2025,1983084,374,373,8.76,8.34,1421497,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,35.39,90,305,155,29162,6,25102,2023,2025,2242858,321,291,7.53,6.28,1576097,1.0
Tata,Tata Nexon EV,Car,40.0,31.68,79,312,120,72773,3,18778,2020,2025,1387165,311,292,7.83,7.63,579784,0.9
Ola,Ola S1 Pro,Bike,4.0,3.4,85,180,95,80906,2,11272,2019,2025,155781,179,169,7.81,7.29,61493,0.8
Ather,Ather 450X,Bike,3.7,3.32,89,150,90,33633,7,7280,2024,2025,144234,148,115,7.93,6.84,113890,1.1
Hyundai,Hyundai Kona Electric,Car,39.0,27.73,71,305,155,89182,1,22830,2018,2025,2350345,317,294,9.0,8.02,682960,0.7
Ola,Ola S1 Pro,Bike,4.0,2.9,72,180,95,77236,2,6039,2019,2025,152155,182,154,8.68,8.13,51229,0.7
Ather,Ather 450X,Bike,3.7,2.93,79,150,90,71583,3,7718,2020,2025,148530,166,160,8.3,7.62,62071,0.8
MG,MG ZS EV,Car,50.0,41.74,83,419,140,58435,4,27173,2021,2025,2309645,427,406,7.66,6.58,1156267,0.9
Ather,Ather 450X,Bike,3.7,3.81,102,150,90,43128,6,10948,2023,2025,145741,170,151,7.86,6.52,116217,1.1
Ola,Ola S1 Pro,Bike,4.0,3.63,90,180,95,25712,7,13732,2024,2025,144765,174,167,8.02,7.42,115609,1.2
Ola,Ola S1 Pro,Bike,4.0,2.75,68,180,95,102572,1,12124,2018,2025,143643,174,158,8.81,7.34,40358,0.8
Tata,Tata Nexon EV,Car,40.0,31.78,79,312,120,73728,3,22657,2020,2025,1599833,299,269,8.53,8.14,670782,1.0
MG,MG ZS EV,Car,50.0,37.97,75,419,140,97708,2,32659,2019,2025,2375957,411,393,8.62,7.74,837925,0.8
Tata,Tata Nexon EV,Car,40.0,34.87,87,312,120,33643,5,23571,2022,2025,1617592,319,301,8.64,7.99,960968,1.0
Ola,Ola S1 Pro,Bike,4.0,2.54,63,180,95,107877,0,10188,2017,2025,149288,174,157,8.65,7.17,34092,0.7
Hyundai,Hyundai Kona Electric,Car,39.0,34.64,88,305,155,36727,5,20408,2022,2025,2299247,318,297,7.82,6.65,1391704,1.0
Mahindra,Mahindra XUV400,Car,39.4,36.51,92,375,150,32076,6,31553,2023,2025,1811830,376,343,8.32,7.49,1300164,1.1
Mahindra,Mahindra XUV400,Car,39.4,28.28,71,375,150,93340,1,26679,2018,2025,2128623,384,370,8.22,6.77,624396,0.7
Tata,Tata Nexon EV,Car,40.0,32.43,81,312,120,77821,3,23256,2020,2025,1643758,330,319,8.95,7.99,703296,0.9
MG,MG ZS EV,Car,50.0,36.47,72,419,140,95974,1,35085,2018,2025,2556894,406,406,8.55,7.31,762179,0.8
Ather,Ather 450X,Bike,3.7,4.05,109,150,90,35330,7,6138,2024,2025,156563,136,124,8.24,7.07,150808,1.2
Bajaj,Bajaj Chetak,Bike,3.0,1.81,60,120,70,107159,1,3000,2018,2025,117014,115,81,8.38,7.72,28851,0.7
Mahindra,Mahindra XUV400,Car,39.4,35.04,88,375,150,37412,5,18968,2022,2025,1908558,383,334,7.52,7.48,1156701,1.0
MG,MG ZS EV,Car,50.0,47.95,95,419,140,23127,7,23882,2024,2025,2716077,416,399,8.0,7.98,2292151,1.1
Mahindra,Mahindra XUV400,Car,39.4,33.5,85,375,150,67955,4,16134,2021,2025,1876983,379,355,7.51,7.51,957060,0.9
Ola,Ola S1 Pro,Bike,4.0,2.83,70,180,95,78069,3,6252,2020,2025,147645,183,148,8.62,7.3,55126,0.9
Bajaj,Bajaj Chetak,Bike,3.0,2.2,73,120,70,71187,4,13637,2021,2025,136026,104,60,7.68,6.47,59821,0.9
Mahindra,Mahindra XUV400,Car,39.4,27.23,69,375,150,117769,0,21422,2017,2025,1894076,392,377,8.51,8.0,470771,0.7
MG,MG ZS EV,Car,50.0,42.4,84,419,140,68743,4,23333,2021,2025,2357767,405,368,8.88,7.71,1199022,0.9
Bajaj,Bajaj Chetak,Bike,3.0,1.96,65,120,70,106229,0,12226,2017,2025,142320,100,92,8.74,8.12,33439,0.7
MG,MG ZS EV,Car,50.0,48.25,96,419,140,16320,7,31403,2024,2025,2364478,423,394,7.82,7.06,2007914,1.1
Tata,Tata Nexon EV,Car,40.0,29.93,74,312,120,94542,2,23980,2019,2025,1468612,322,286,8.78,8.69,510328,0.7
TVS,TVS iQube,Bike,3.4,3.22,94,145,82,19881,7,15085,2024,2025,145491,140,133,8.75,8.52,121253,1.2
Bajaj,Bajaj Chetak,Bike,3.0,2.23,74,120,70,89417,2,3000,2019,2025,128297,125,123,8.88,8.41,44289,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,34.48,88,305,155,54469,5,31301,2022,2025,2070690,317,278,8.4,7.49,1247572,1.0
Mahindra,Mahindra XUV400,Car,39.4,29.48,74,375,150,78822,2,18199,2019,2025,1937643,383,343,8.5,7.51,673288,0.7
Ather,Ather 450X,Bike,3.7,2.46,66,150,90,93538,1,4263,2018,2025,171094,156,128,8.5,7.79,46488,0.6
Ola,Ola S1 Pro,Bike,4.0,4.13,103,180,95,47537,6,6382,2023,2025,138728,166,123,8.8,8.07,110922,1.1
Ather,Ather 450X,Bike,3.7,2.5,67,150,90,90232,1,14737,2018,2025,172610,161,135,7.7,6.55,47663,0.8
Tata,Tata Nexon EV,Car,40.0,28.99,72,312,120,103715,1,21804,2018,2025,1411675,294,288,8.66,8.62,418120,0.8
MG,MG ZS EV,Car,50.0,40.07,80,419,140,69292,3,20397,2020,2025,2367160,438,434,8.25,7.4,1001129,0.9
MG,MG ZS EV,Car,50.0,43.67,87,419,140,44924,5,19267,2022,2025,2725818,418,404,7.74,6.72,1622400,1.0
Ather,Ather 450X,Bike,3.7,2.22,60,150,90,97929,1,11511,2018,2025,170909,133,125,7.59,7.09,41907,0.7
Ather,Ather 450X,Bike,3.7,2.69,72,150,90,116742,0,8429,2017,2025,162870,138,120,7.62,6.38,42584,0.6
Ather,Ather 450X,Bike,3.7,3.05,82,150,90,29615,6,5406,2023,2025,153124,140,116,7.9,7.7,97747,1.1
Mahindra,Mahindra XUV400,Car,39.4,35.86,91,375,150,44081,6,27483,2023,2025,2086045,380,380,8.65,7.68,1470290,1.0
Ola,Ola S1 Pro,Bike,4.0,3.12,78,180,95,114119,0,11670,2017,2025,159161,196,174,8.81,7.6,44647,0.7
MG,MG ZS EV,Car,50.0,41.64,83,419,140,59463,4,21009,2021,2025,2306380,418,398,8.86,7.65,1151866,1.0
TVS,TVS iQube,Bike,3.4,2.72,80,145,82,52470,5,3000,2022,2025,131102,128,98,7.87,6.95,71473,0.9
Mahindra,Mahindra XUV400,Car,39.4,30.34,77,375,150,86067,2,33524,2019,2025,1975523,360,358,8.53,7.89,706476,0.8
Bajaj,Bajaj Chetak,Bike,3.0,2.69,89,120,70,23624,7,10049,2024,2025,120419,115,79,8.94,7.83,95018,1.1
TVS,TVS iQube,Bike,3.4,2.31,67,145,82,81744,2,7371,2019,2025,148128,136,103,8.29,7.74,46737,0.8
Ather,Ather 450X,Bike,3.7,2.86,77,150,90,110710,0,8209,2017,2025,173430,152,150,8.11,7.93,48211,0.6
Hyundai,Hyundai Kona Electric,Car,39.0,31.41,80,305,155,76390,3,25985,2020,2025,2133185,312,263,7.63,6.43,906661,0.9
MG,MG ZS EV,Car,50.0,33.83,67,419,140,93226,0,28249,2017,2025,2292102,417,409,7.7,6.9,557734,0.8
Mahindra,Mahindra XUV400,Car,39.4,31.49,79,375,150,75532,3,27577,2020,2025,2081799,381,348,7.82,7.53,878068,0.8
MG,MG ZS EV,Car,50.0,35.7,71,419,140,101275,1,23376,2018,2025,2381491,405,364,8.91,7.6,694905,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,32.53,83,305,155,62491,4,20139,2021,2025,2513215,296,282,8.56,7.85,1257128,0.9
Ather,Ather 450X,Bike,3.7,3.32,89,150,90,64365,5,6635,2022,2025,148964,170,124,8.18,7.16,91088,0.9
Tata,Tata Nexon EV,Car,40.0,26.81,67,312,120,99838,0,31642,2017,2025,1582906,320,294,7.64,6.87,381551,0.6
TVS,TVS iQube,Bike,3.4,2.81,82,145,82,59298,4,7171,2021,2025,153414,164,131,8.07,6.73,76036,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,26.22,67,305,155,112831,0,20487,2017,2025,2263203,307,261,8.64,8.4,547208,0.7
Ola,Ola S1 Pro,Bike,4.0,3.73,93,180,95,54905,5,8734,2022,2025,158920,196,170,8.18,7.78,100989,1.1
MG,MG ZS EV,Car,50.0,40.37,80,419,140,67023,3,25227,2020,2025,2731644,403,397,8.03,6.82,1163928,0.8
MG,MG ZS EV,Car,50.0,39.68,79,419,140,81309,3,18269,2020,2025,2305083,422,417,8.33,8.27,965387,0.9
Mahindra,Mahindra XUV400,Car,39.4,26.43,67,375,150,111683,0,17925,2017,2025,2176258,387,359,8.29,8.17,525016,0.7
Mahindra,Mahindra XUV400,Car,39.4,30.26,76,375,150,72709,2,31794,2019,2025,1983971,363,327,8.89,8.39,707626,0.8
Ola,Ola S1 Pro,Bike,4.0,4.21,105,180,95,23370,7,4815,2024,2025,147414,170,148,7.58,6.67,136534,1.3
Ather,Ather 450X,Bike,3.7,2.22,60,150,90,116461,0,7396,2017,2025,166683,154,122,8.19,7.24,35966,0.6
Bajaj,Bajaj Chetak,Bike,3.0,2.91,97,120,70,31614,6,4674,2023,2025,119145,117,91,8.45,7.41,89497,1.1
Bajaj,Bajaj Chetak,Bike,3.0,2.32,77,120,70,53797,4,7562,2021,2025,125066,133,95,7.51,6.83,58001,0.9
Mahindra,Mahindra XUV400,Car,39.4,28.11,71,375,150,83719,1,31807,2018,2025,1851408,358,329,8.31,7.88,539815,0.7
Ola,Ola S1 Pro,Bike,4.0,3.25,81,180,95,54199,5,8416,2022,2025,149889,172,167,8.05,7.84,82992,1.0
Mahindra,Mahindra XUV400,Car,39.4,35.16,89,375,150,34057,5,38379,2022,2025,2184618,372,328,8.13,6.65,1328544,1.0
Ather,Ather 450X,Bike,3.7,3.53,95,150,90,65084,4,20608,2021,2025,168577,157,129,8.08,7.1,96449,0.9
TVS,TVS iQube,Bike,3.4,3.19,93,145,82,56286,4,7739,2021,2025,138746,141,135,7.75,6.42,78066,1.0
Bajaj,Bajaj Chetak,Bike,3.0,2.61,87,120,70,80637,2,20526,2019,2025,137980,107,85,7.92,6.78,55748,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,31.64,81,305,155,79757,3,27610,2020,2025,2504645,297,260,8.84,7.93,1072337,0.9
Bajaj,Bajaj Chetak,Bike,3.0,2.6,86,120,70,21732,7,3000,2024,2025,142071,118,86,7.93,7.76,108352,1.2
Ather,Ather 450X,Bike,3.7,2.33,62,150,90,99064,1,16384,2018,2025,174367,140,138,8.39,7.78,44874,0.6
Ather,Ather 450X,Bike,3.7,2.88,77,150,90,92497,2,8835,2019,2025,146889,149,127,7.9,6.72,53097,0.7
Hyundai,Hyundai Kona Electric,Car,39.0,35.54,91,305,155,44633,6,25851,2023,2025,2398639,306,300,8.68,8.02,1692711,1.1
Ather,Ather 450X,Bike,3.7,3.33,90,150,90,36500,6,3841,2023,2025,160417,165,132,7.93,6.98,111804,1.1
Ather,Ather 450X,Bike,3.7,3.25,87,150,90,59035,5,17475,2022,2025,159380,158,140,8.84,8.8,95403,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,28.42,72,305,155,101945,1,21130,2018,2025,2261177,292,288,8.96,8.0,673399,0.6
Ola,Ola S1 Pro,Bike,4.0,2.67,66,180,95,72741,2,3000,2019,2025,160576,169,151,8.85,8.39,49776,0.8
Bajaj,Bajaj Chetak,Bike,3.0,2.79,93,120,70,37085,6,4108,2023,2025,140411,136,93,8.24,7.34,101122,1.1
MG,MG ZS EV,Car,50.0,42.16,84,419,140,67741,4,23900,2021,2025,2711015,435,429,8.51,7.45,1370860,0.9
MG,MG ZS EV,Car,50.0,40.49,80,419,140,69096,3,26963,2020,2025,2453050,430,417,8.33,6.87,1048328,0.9
Mahindra,Mahindra XUV400,Car,39.4,37.43,95,375,150,1406,7,19762,2024,2025,2089089,365,343,7.53,6.9,1746478,1.2
Tata,Tata Nexon EV,Car,40.0,30.46,76,312,120,84421,2,32173,2019,2025,1585628,293,246,8.51,7.29,560747,0.8
Ola,Ola S1 Pro,Bike,4.0,2.89,72,180,95,92774,1,4504,2018,2025,144528,176,132,8.63,7.72,42674,0.7
Mahindra,Mahindra XUV400,Car,39.4,34.58,87,375,150,34407,5,24225,2022,2025,1830787,376,351,8.64,8.46,1095001,1.1
Ola,Ola S1 Pro,Bike,4.0,3.61,90,180,95,61699,4,3000,2021,2025,136885,164,147,7.77,6.74,74085,1.1
MG,MG ZS EV,Car,50.0,46.4,92,419,140,42293,6,20828,2023,2025,2551298,434,413,7.81,7.34,1833472,1.0
Bajaj,Bajaj Chetak,Bike,3.0,3.24,108,120,70,32415,7,4577,2024,2025,127676,139,99,8.03,7.32,121343,1.3
TVS,TVS iQube,Bike,3.4,2.45,72,145,82,68480,2,17000,2019,2025,143123,138,110,7.74,6.41,47895,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,30.93,79,305,155,74470,3,24419,2020,2025,2423974,306,269,7.97,6.94,1014510,0.9
Hyundai,Hyundai Kona Electric,Car,39.0,34.05,87,305,155,51334,5,23348,2022,2025,2240744,314,283,8.73,8.08,1333192,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,31.3,80,305,155,68843,3,20194,2020,2025,2111469,302,296,8.66,7.45,894288,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,26.11,66,305,155,106316,0,22125,2017,2025,2464597,289,252,7.61,6.19,593402,0.7
Bajaj,Bajaj Chetak,Bike,3.0,2.38,79,120,70,55672,5,3000,2022,2025,129937,134,131,8.23,7.81,70248,1.0
Mahindra,Mahindra XUV400,Car,39.4,31.85,80,375,150,83493,3,23905,2020,2025,1876879,387,346,8.34,7.87,800687,0.9
Ola,Ola S1 Pro,Bike,4.0,3.71,92,180,95,48113,4,4773,2021,2025,162352,171,147,8.35,7.19,90303,1.0
Ola,Ola S1 Pro,Bike,4.0,3.39,84,180,95,24724,7,3000,2024,2025,161544,193,148,7.7,7.39,120479,1.1
Hyundai,Hyundai Kona Electric,Car,39.0,30.11,77,305,155,87269,2,23885,2019,2025,2182686,302,296,7.69,6.52,782588,0.7
MG,MG ZS EV,Car,50.0,34.38,68,419,140,91193,0,26326,2017,2025,2391421,426,405,8.16,7.85,591361,0.6
Hyundai,Hyundai Kona Electric,Car,39.0,32.82,84,305,155,68050,4,21680,2021,2025,2196762,292,286,8.31,6.89,1108632,1.0
MG,MG ZS EV,Car,50.0,45.91,91,419,140,41181,6,34956,2023,2025,2366812,403,401,7.69,6.68,1682931,1.0
TVS,TVS iQube,Bike,3.4,2.26,66,145,82,69114,3,7086,2020,2025,140052,125,95,7.59,6.55,49128,0.8
Tata,Tata Nexon EV,Car,40.0,27.29,68,312,120,107372,0,26280,2017,2025,1472000,326,303,7.66,6.24,361170,0.6
Hyundai,Hyundai Kona Electric,Car,39.0,36.21,92,305,155,34070,6,28615,2023,2025,2112769,285,252,8.85,8.31,1519082,1.0
MG,MG ZS EV,Car,50.0,37.66,75,419,140,95462,2,31131,2019,2025,2442797,410,363,8.04,6.7,854463,0.7
TVS,TVS iQube,Bike,3.4,3.02,88,145,82,57400,4,11129,2021,2025,127040,161,128,7.68,6.53,67670,0.9
MG,MG ZS EV,Car,50.0,38.08,76,419,140,81869,2,27372,2019,2025,2446621,409,402,8.44,7.28,865345,0.7
Tata,Tata Nexon EV,Car,40.0,37.09,92,312,120,44600,6,25706,2023,2025,1372881,302,268,8.17,6.99,985814,1.0
Ola,Ola S1 Pro,Bike,4.0,4.3,107,180,95,17204,7,6017,2024,2025,137101,184,170,7.57,6.48,129697,1.2
TVS,TVS iQube,Bike,3.4,2.06,60,145,82,113315,0,3000,2017,2025,131384,153,147,7.95,7.63,28628,0.7
Bajaj,Bajaj Chetak,Bike,3.0,3.19,106,120,70,22238,7,5130,2024,2025,117497,135,116,7.86,6.71,109945,1.1
Tata,Tata Nexon EV,Car,40.0,35.06,87,312,120,53354,5,21756,2022,2025,1358058,325,313,8.02,7.53,811181,0.9
Ather,Ather 450X,Bike,3.7,3.84,103,150,90,26384,7,3000,2024,2025,151254,162,128,8.16,6.68,138139,1.1
Ola,Ola S1 Pro,Bike,4.0,3.19,79,180,95,34041,6,16221,2023,2025,157700,197,193,8.04,6.86,97392,1.0
Tata,Tata Nexon EV,Car,40.0,38.75,96,312,120,35498,7,17789,2024,2025,1403818,316,286,7.66,6.52,1196754,1.1
Hyundai,Hyundai Kona Electric,Car,39.0,28.47,73,305,155,103510,1,29359,2018,2025,2458805,325,291,7.95,7.45,733543,0.8
TVS,TVS iQube,Bike,3.4,2.67,78,145,82,60825,5,5548,2022,2025,129806,129,129,7.53,6.48,69466,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,37.65,96,305,155,16433,7,23637,2024,2025,2107084,285,240,7.86,6.92,1790048,1.1
Bajaj,Bajaj Chetak,Bike,3.0,1.89,63,120,70,114265,0,10376,2017,2025,130794,107,60,8.97,8.87,29633,0.6
Tata,Tata Nexon EV,Car,40.0,35.08,87,312,120,41950,5,34341,2022,2025,1359297,295,257,8.38,7.31,812385,1.1
Ola,Ola S1 Pro,Bike,4.0,4.26,106,180,95,19469,7,19213,2024,2025,153213,192,179,8.46,7.36,143591,1.2
Bajaj,Bajaj Chetak,Bike,3.0,2.1,70,120,70,103189,1,9944,2018,2025,119207,114,93,7.69,7.65,34101,0.8
MG,MG ZS EV,Car,50.0,37.8,75,419,140,102880,2,27888,2019,2025,2391893,403,395,8.26,7.15,839768,0.7
Ola,Ola S1 Pro,Bike,4.0,2.87,71,180,95,88896,1,10126,2018,2025,138403,192,191,8.81,8.26,40583,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,35.67,91,305,155,28987,6,19642,2023,2025,2230080,298,286,7.59,7.05,1579516,1.0
Ather,Ather 450X,Bike,3.7,2.9,78,150,90,84866,2,14805,2019,2025,161716,132,111,7.62,6.61,58863,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,37.27,95,305,155,14766,7,28030,2024,2025,2276214,304,279,8.53,7.39,1914214,1.2
Tata,Tata Nexon EV,Car,40.0,33.74,84,312,120,60015,4,24959,2021,2025,1354722,307,305,8.86,7.57,685276,0.8
Bajaj,Bajaj Chetak,Bike,3.0,2.01,67,120,70,95778,1,7498,2018,2025,123627,110,60,7.91,7.03,33850,0.7
Ola,Ola S1 Pro,Bike,4.0,2.96,74,180,95,72362,3,9321,2020,2025,142861,169,142,8.41,7.83,55790,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,33.13,84,305,155,46205,4,22256,2021,2025,2484214,300,289,8.46,8.46,1265541,1.1
Hyundai,Hyundai Kona Electric,Car,39.0,27.61,70,305,155,94609,1,29430,2018,2025,2336944,320,302,8.94,7.56,676127,0.6
Hyundai,Hyundai Kona Electric,Car,39.0,26.35,67,305,155,110817,0,34116,2017,2025,2527188,319,304,8.65,7.69,614065,0.7
MG,MG ZS EV,Car,50.0,40.47,80,419,140,79791,3,31954,2020,2025,2664678,427,380,8.02,6.95,1138207,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,30.07,77,305,155,80345,2,18473,2019,2025,2271181,323,299,8.16,7.66,813236,0.9
Bajaj,Bajaj Chetak,Bike,3.0,3.07,102,120,70,40913,6,9502,2023,2025,133504,105,86,8.0,6.77,105797,1.0
Tata,Tata Nexon EV,Car,40.0,38.44,96,312,120,23379,7,27260,2024,2025,1486630,323,309,8.4,7.34,1257213,1.2
TVS,TVS iQube,Bike,3.4,3.57,105,145,82,32003,6,11282,2023,2025,130283,156,124,8.56,7.63,105935,1.1
MG,MG ZS EV,Car,50.0,42.09,84,419,140,73910,4,30531,2021,2025,2518622,434,418,7.94,7.14,1271459,0.8
TVS,TVS iQube,Bike,3.4,2.97,87,145,82,78529,3,6158,2020,2025,135474,152,146,7.79,7.25,62452,0.9
Mahindra,Mahindra XUV400,Car,39.4,28.43,72,375,150,91572,1,31246,2018,2025,1844693,374,330,8.81,7.42,543980,0.8
TVS,TVS iQube,Bike,3.4,2.64,77,145,82,104816,0,9377,2017,2025,139112,125,75,7.62,6.97,38846,0.6
Tata,Tata Nexon EV,Car,40.0,36.95,92,312,120,42618,6,15709,2023,2025,1467436,330,297,8.56,7.87,1049733,1.1
Ather,Ather 450X,Bike,3.7,3.33,90,150,90,63227,3,13695,2020,2025,167001,163,135,7.66,6.3,79318,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,36.3,93,305,155,32815,6,28186,2023,2025,2289775,314,277,8.03,7.65,1650441,1.0
TVS,TVS iQube,Bike,3.4,2.65,77,145,82,47113,5,10865,2022,2025,129320,143,112,7.99,7.71,68687,1.0
TVS,TVS iQube,Bike,3.4,2.24,65,145,82,97433,1,13957,2018,2025,149883,129,105,8.9,8.07,40355,0.8
Ather,Ather 450X,Bike,3.7,3.1,83,150,90,43626,5,3000,2022,2025,156744,133,127,7.81,7.61,89495,1.0
MG,MG ZS EV,Car,50.0,42.1,84,419,140,54534,4,34570,2021,2025,2442129,400,367,8.73,7.58,1233137,1.0
Bajaj,Bajaj Chetak,Bike,3.0,2.32,77,120,70,31533,6,10407,2023,2025,126191,122,107,7.89,6.56,75571,1.0
Tata,Tata Nexon EV,Car,40.0,29.01,72,312,120,89639,1,33234,2018,2025,1364958,305,269,7.65,6.45,404562,0.7
Hyundai,Hyundai Kona Electric,Car,39.0,29.85,76,305,155,88812,2,30481,2019,2025,2102489,292,281,8.71,7.35,747324,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,26.72,68,305,155,116232,0,22694,2017,2025,2118882,314,288,8.11,6.74,522083,0.7
MG,MG ZS EV,Car,50.0,46.12,92,419,140,37928,6,31578,2023,2025,2505254,433,400,8.65,7.88,1789519,1.1
MG,MG ZS EV,Car,50.0,45.59,91,419,140,30269,6,34301,2023,2025,2452917,404,369,8.34,7.02,1731999,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,27.63,70,305,155,99424,1,26386,2018,2025,2188316,317,309,7.87,7.18,633585,0.8
MG,MG ZS EV,Car,50.0,39.64,79,419,140,70488,3,21701,2020,2025,2740023,431,381,7.61,7.5,1146386,0.8
TVS,TVS iQube,Bike,3.4,2.89,85,145,82,27606,7,8464,2024,2025,142387,150,121,8.14,6.69,106505,1.1
Tata,Tata Nexon EV,Car,40.0,26.87,67,312,120,95767,0,25621,2017,2025,1556049,304,291,8.04,7.61,375917,0.6
Ather,Ather 450X,Bike,3.7,3.1,83,150,90,89098,2,3000,2019,2025,154141,161,141,8.56,7.36,59975,0.9
Mahindra,Mahindra XUV400,Car,39.4,33.16,84,375,150,72442,4,24109,2021,2025,1970442,370,361,8.19,8.04,994517,1.0
MG,MG ZS EV,Car,50.0,38.06,76,419,140,88645,2,15832,2019,2025,2453539,421,385,7.7,7.25,867336,0.7
Bajaj,Bajaj Chetak,Bike,3.0,2.24,74,120,70,108421,0,5511,2017,2025,127835,104,62,8.4,7.55,34327,0.7
MG,MG ZS EV,Car,50.0,37.83,75,419,140,76977,2,25490,2019,2025,2257726,425,391,8.24,8.12,793292,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,28.42,72,305,155,109412,1,25618,2018,2025,2337112,292,292,7.97,7.26,696013,0.6
Mahindra,Mahindra XUV400,Car,39.4,34.67,87,375,150,43955,5,28882,2022,2025,2177029,369,337,8.83,8.27,1305478,0.9
Bajaj,Bajaj Chetak,Bike,3.0,2.51,83,120,70,79051,2,8689,2019,2025,137704,117,117,8.96,8.72,53505,0.9
